sjlHnJvXdQs,iPhone X (parody),jacksfilms,23,jacksfilms|parody|parodies|iphone|iphone x|iphone 8|apple|emoji,1168130,96666,568,6666,https://i.ytimg.com/vi/sjlHnJvXdQs/default.jpg,13.09
T_PuZBdT2iM,getting into a conversation in a language you don't actually speak that well,ProZD,1,skit|korean|language|conversation|esl|japanese|foreign|communication|don't speak|struggle|foreigner|lotte mart|korea|south|weather|good|tutorial,1582683,65749,1531,3598,https://i.ytimg.com/vi/T_PuZBdT2iM/default.jpg,13.09
EVp4-qjWVJE,Chargers vs. Broncos | NFL Week 1 Game Highlights,NFL,17,NFL|Football|offense|defense|afc|nfc|American Football|highlight|highlights|game|games|sport|sports|action|play|plays|season|2017|scrimmage|rookie|rookies|recap|run|sprint|catch|huge|amazing|win|lose|touchdown|td|week 1|wk 1|los angeles|LA|chargers|denver|broncos|rivers|anderson|thomas|mnf|monday night football|sp:dt=2017-09-11T22:20:00-04:00|sp:vl=en-US|sp:st=football|sp:li=nfl|sp:ti:home=Den|sp:ti:away=SD|sp:ty=high|kick|block|kicker|blocked kick|field goal block,743947,6126,352,2438,https://i.ytimg.com/vi/EVp4-qjWVJE/default.jpg,13.09
E-NxvaVWjBM,iPhone 8 Hands-On: Don't Overlook This Big Update,Tom’s Guide,28,Toms Guide|Tech|News|iphone 8|apple|iphone|smartphone,16653,83,10,27,https://i.ytimg.com/vi/E-NxvaVWjBM/default.jpg,13.09
_NlKTMvnjIc,"Hurricane Irma Now a Category 3, Could 'Re-Engergize' to Category 4 | MSNBC",MSNBC,25,Hurricane Irma|Irma|weather|hurricane|Florida|MSNBC|Al Roker|Storms,1769252,8048,2123,3359,https://i.ytimg.com/vi/_NlKTMvnjIc/default.jpg,13.09
rTMibYCQMyk,Served Like A Girl - Trailer,Freestyle Digital Media,1,Served Like A Girl|Documentary|Veterans|Army|Military|War|PTSD|Soldiers|Women|Lysa Heslov|American|Iraq|Afghanistan|Service Personnel|Homelessness|Broken Families|Serious Illness|Physical Injuries|Military Sexual Abuse|Ms. Veteran America|beauty pageant|Army Base|Independent|Freestyle Digital Media|Entertainment Studios Motion Pictures|served like a girl trailer|served like a girl documentary|served like a girl movie|women veteran,7410,48,2,0,https://i.ytimg.com/vi/rTMibYCQMyk/default.jpg,13.09
_GC5AVsf528,Nothing But Thieves - Sorry (Stripped Back),NBTVEVO,10,muse|nothing but thieves radio 1|nothing but thieves mistajam|nbt sorry|broken machine|nothing but thieves sorry|sorry music video|nbt broken machine|nothing but thieves new music|sorry acoustic version|Alternative/Indie|Nothing But Thieves|RCA Records Label|Sorry,92783,6491,54,339,https://i.ytimg.com/vi/_GC5AVsf528/default.jpg,13.09
AHrCI9eSJGQ,"30 Days Timelapse at Sea | 4K | Through Thunderstorms, Torrential Rain & Busy Traffic",JeffHK,19,cargo ship time lapse|container ship time lapse|time lapse container ship|container ship timelapse|ship timelapse|ship time lapse|jeffhk|time lapse ship|3rd officer|third officer|timelapse|megaship|container ship 4k|mariner|officer|3rd mate|containership|timelapse ship container|time lapse shipyard|cargo ship 4k|ship 4k|incredible|30 days timelapse|30 days|timelapse at sea|time lapse at sea|Thunderstorms|Torrential Rain|Traffic|Traffic Timelapse,763632,51890,194,4852,https://i.ytimg.com/vi/AHrCI9eSJGQ/default.jpg,13.09
uAipi4V5g34,Dancing in 80's Movies Supercut - Vol. 2,Robert Jones,24,80s|eighties|movie|dance|mashup|supercut,11830,200,3,22,https://i.ytimg.com/vi/uAipi4V5g34/default.jpg,13.09
frv64BFwGFY,Kmart - I Can,Kmart,24,Kmart|deals|savings|discount|cheap|bargain-shopping|style|on-trend|style-for-all|fashion-for-all-sizes|womens-fashion|girl-power|girl-code|women-supporting-women|empowering-women|strong-women|confident-women|womens-movement|wear-confidence|fierce-wome,116337,17,10,2,https://i.ytimg.com/vi/frv64BFwGFY/default.jpg,13.09
