8wNr-NQImFg,"The Check In: HUD, Ben Carson and Hurricanes",Late Night with Seth Meyers,23,Late night|Seth Meyers|check in|hud|Ben Carson|NBC|NBC TV|television|funny|talk show|comedy|humor|stand-up|parody|snl seth meyers|host|promo|seth|meyers|weekend update|news satire|satire|surgeon|neurosurgeon|Housing Secretary|Elizabeth Warren|Gifted Hands|Housing & Urban Development|ProPublica|HLN|Hurricane Harvey|Texas|EPA,666169,9985,297,1071,https://i.ytimg.com/vi/8wNr-NQImFg/default.jpg,13.09
c7ymY8QEB2g,kirstin - Bad Weather (Official Video),kirstinVEVO,10,Bad Weather|Pop|RCA Records Label|kirstin,44621,4165,121,537,https://i.ytimg.com/vi/c7ymY8QEB2g/default.jpg,13.09
amds5iNvFD4,I Gave Myself A Celebrity Hair Transformation 💇🏾✂️,Michelle Khare,24,michelle khare|buzzfeed michelle|transformation|before and after|beauty|taylor swift|beach waves|seventeen magazine|rene cortez|lilly singh|iisuperwomanii|papi|hair|makeover|extreme makeover|makeup|tutorial|how to|power of makeup|kim kardashian|katy perry|celebrity|gwenyth paltrow|hair style|trend|google trends|youtube trending|home makeover|cosmetics|kkw beauty|snapchat|filter|instagram model|instagram|I Gave Myself A Celebrity Hair Transformation,322896,8516,470,663,https://i.ytimg.com/vi/amds5iNvFD4/default.jpg,13.09
jehAZhrI7oA,IT - SPOILER Talk,Jeremy Jahns,24,It|stephen king|pennywise|clown|fear|derry|kids|Spoiler|Spoiler Talk|movie|review|awesometacular|jeremy jahns,788310,17141,1054,5521,https://i.ytimg.com/vi/jehAZhrI7oA/default.jpg,13.09
-tCu0tKrzhc,Sloane Stephens jokes that $3.7 million check inspires her to keep playing | ESPN,ESPN,17,ESPN|tennis|sloane stephens|sloane|US Open|new york|champion|check|jokes|madison keys|keys,113400,1049,20,297,https://i.ytimg.com/vi/-tCu0tKrzhc/default.jpg,13.09
0tOUQt5fem0,First Tuned Run of Terry Mayhugh's Quarter Scale V12 Merlin,mayhugh1,2,Mayhugh+engines+tormach+rolls royce+merlin+v12+v-12+quarter scale+model engine,7009,45,0,9,https://i.ytimg.com/vi/0tOUQt5fem0/default.jpg,13.09
A-fofQ9VpPQ,Alias Grace | Official Trailer [HD] | Netflix,Netflix,24,Netflix|Trailer|Netflix Original Series|Netflix Series|television|movies|streaming|movies online|television online|drama|08282016NtflxUSCAN|watch movies|Margaret Atwood|novel|Alias Grace|Grace Marks|Canada|James McDermott|murder|housekeeper|Thomas Kinnear|Nancy Montgomery|1843|mystery|amnesia|alias grace|booktube|sarah polley|thr online|trailer|literature (media genre)|books|sarah gadon|Zachary Levi|Edward Holcroft,349856,4403,140,335,https://i.ytimg.com/vi/A-fofQ9VpPQ/default.jpg,13.09
qh7QJ_jLam0,Green Day - Too Dumb to Die (Official Lyric Video),Green Day,10,Green Day|Too Dumb to Die|Other|revolution radio|billie joe armstrong|mike dirnt|tre cool|mira ruido|MiraRuido|Joseba Elorza,845694,64515,625,4325,https://i.ytimg.com/vi/qh7QJ_jLam0/default.jpg,13.09
mTnRc4pVu4w,Lecrae - Hammer Time (Dance Visual) ft. 1K Phew,LecraeVEVO,10,Hammer Time|Lecrae feat. 1K Phew|Rap|Reach Records/Columbia,106186,4695,193,396,https://i.ytimg.com/vi/mTnRc4pVu4w/default.jpg,13.09
8wNr-NQImFg,"The Check In: HUD, Ben Carson and Hurricanes",Late Night with Seth Meyers,23,Late night|Seth Meyers|check in|hud|Ben Carson|NBC|NBC TV|television|funny|talk show|comedy|humor|stand-up|parody|snl seth meyers|host|promo|seth|meyers|weekend update|news satire|satire|surgeon|neurosurgeon|Housing Secretary|Elizabeth Warren|Gifted Hands|Housing & Urban Development|ProPublica|HLN|Hurricane Harvey|Texas|EPA,1119034,12843,560,1367,https://i.ytimg.com/vi/8wNr-NQImFg/default.jpg,14.09
